[0x0000487c] | DbCommon2            | INFO  | 2020-06-26 16:25:59,488 | Sm2SysIdEntry is not supported in disk database (xml) mode
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:00,417 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:00,424 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:00,601 | Action [fairlightAutomationFollowsEdit] is not a global action
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:01,416 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:01,421 | Failed to load media metadata preset list or the list is empty.
[0x00000c54] | SyManager            | WARN  | 2020-06-26 16:26:01,526 | socket failed to connect to server, error: 10061

[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:01,680 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:01,687 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,709 | Module Handle 00000176EDAF0000 fusionsystem
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,717 | Module Handle 000001770A6E0000 fusionoperators
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,723 | Module Handle 00000176F0F90000 fusioncontrols
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,735 | Module Handle 00000176F7490000 3d.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,738 | Module Handle 000001770AF80000 alembic.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,741 | Module Handle 00000176F7740000 dimension.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,745 | Module Handle 000001770B2A0000 fbx.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,747 | Module Handle 00000176EF830000 fuses.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,748 | Module Handle 00000176F7080000 opencolorio.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,751 | Module Handle 00000176F5D40000 openfx.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,754 | Module Handle 00000176F5D00000 openvr.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,757 | Module Handle 00000176F6CB0000 paint.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,762 | Module Handle 00000176F7240000 particles.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,765 | Module Handle 00000176F7870000 text.plugin
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:26:01,767 | Module Handle 00000176F7180000 utilities.plugin
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:05,428 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:05,434 | Failed to load media metadata preset list or the list is empty.
[0x0000487c] | UI                   | INFO  | 2020-06-26 16:26:05,758 | Not creating special GL widget for screen 0
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,403 | Action [sessionDolbyVisionAnalyzeAllShots] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,403 | Action [sessionDolbyVisionAnalyzeSelectedShots] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionDolbyVisionAnalyzeSelectedAndGroup] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionDolbyVisionAnalyzeCurrentFrame] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionHDR10PlusAnalyzeAllShots] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionHDR10PlusAnalyzeSelectedShots] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionHDR10PlusAnalyzeSelectedAndGroup] is not a valid global action
[0x0000487c] | UI.ActionManager     | WARN  | 2020-06-26 16:26:06,404 | Action [sessionHDR10PlusAnalyzeCurrentFrame] is not a valid global action
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:06,618 | Failed to find value '8192' in combo-box
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:26:06,840 | Failed to find value '100' in combo-box
[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [fusion_menu1_triggered(bool)] is owned by [0000017708B1D510]
[0x0000487c] | UI.MenuBar           | WARN  | 2020-06-26 16:26:07,671 | Plugged In Action [fusion_menu2_triggered()] is owned by [0000017708B1D510]
